,keywords
441,"[': اصل ضعیف حداکثرسازی سود', ' صنعت بانکداری', ' تابع تولید', ' آزمون ناپارامتری']"
442,"['رشد اقتصادی', ' اندازه دولت', ' منحنی آرمی', ' رگرسیون آستانه', ' تابع تولید دو بخشی رتی رام\nطبقه بندی C ۲۲، E ۶۲، O ۴۰، O ۵۳: JEL']"
443,"['دولت', ' کمک های رسمی توسعه ای', ' کشورهای در حال توسعه\nطبقه بندی JEL: C ۵']"
444,"['یارانه', ' تولید ناخالص داخلی', ' پرداخت نقدی', ' مدل تعادل عمومی قابل محاسبه', ' GAMS. \nطبقه بندی JEL:. Q ۴۳']"
445,"['اقتصاد سایه', ' مدل یابی معادله ساختاری', ' مدل علل چند گانه- آثار چند گانه', ' نرم افزار آموس گرافیک', ' نرم افزار لیزرل. \nطبقه بندی JEL: E ۲۶']"
446,"['دستگاه تقاضای باکس-کاکس', ' روش رگرسیون های به ظاهر نامرتبط غیرخطی', ' داده های ادغام شده', ' تقاضای تقریبا ایده آل', ' مناطق شهری ایران\nطبقه بندی JEL: D ۱، D ۱۲، C ۰۱، C ۲۳، C ۵۱']"
447,"['تورم', ' بازده سهام', ' فرضیه فیشر', ' سپر تورمی', ' فرضیه فاما\nطبقه بندی JEL: G ۱۱']"
448,"[': توسعه پایدار', ' گردشگری پایدار', ' نقشههای سنجش پایداری', ' بارومتر گردشگری پایدار', ' جزیره کیش. \n\nطبقهبندی JEL: C ۰۲']"
449,"[': حقوق مصرف', ' کالاهای معیوب یا خطرناک', ' مسئولیت عرضه کنندگان', ' مسئولیت تولیدکنندگان. \nطبقه بندی JEL: K ۱۳']"
450,"['حداقل معاش', ' خط فقر', ' سیستم مخارج خطی', ' استان کرمانشاه', ' ISUR\nطبقه بندی D ۱۱: JEL']"
451,"['مدل تعادل عمومی پویای تصادفی', ' کالیبراسیون (مقداردهی) در الگوهای DSGE', ' چسبندگی قیمت و دستمزد']"
452,"['شاخص شرایط پولی', ' کانال اعتبارات', ' سیاست پولی', ' آزمون های غیر آشیانه ای ایران. \nطبقه بندی JEL: E ۵۲']"
453,"[': نرخ تورم', ' شکاف تولید', ' فیلترینگ هادریک-پرسکات', ' منحنی فیلیپس نیوکینزی', ' آزمون پایایی HEGY', ' آزمون پایایی پرون. \nطبقه بندیJEL:']"
454,"['واژگان کلیدی: قانون واگنر', ' دیدگاه کینز', ' بخش عمومی', ' علیت هسیائو', ' ایران\nطبقه بندی JEL: H ۱۰']"
455,"['مسکن', ' قیمت مسکن', ' نرخ سود سپرده های بانکی', ' مدل خودرگرسیونی برداری', ' ایران. \nطبقه بندی: JEL R ۳۱']"
456,"['سرمایه گذاری مستقیم خارجی', ' شاخص حکمرانی', ' شاخص آزادی اقتصادی', ' شاخص پایداری محیطی', ' منطقه منا. \nطبقه بندی JEL: F ۲۱']"
457,"['ساختار بازار', ' رقابت', ' تلاش مدیریتی', ' بهره وری', ' صنعت', ' عملکرد بنگاه. \nطبقه بندی JEL: J ۵۰']"
458,"['محیط زیست', ' انتشار CO ۲ ', ' صنایع ایران', ' تجزیه عوامل']"
459,"['مخارج تحقیقات کشاورزی', ' بهره وری', ' ریشه واحد', ' خود رگرسیونی برداری (var)']"
460,"['ایران', ' سن ازدواج زنان', ' رویکرد اقتصادی', ' رگرسیون کاکس']"
461,"['آبیاری زیر زمینی', ' برنامه ریزی ریاضی مثبت', ' سیاست آب', ' مدیریت تقاضای آب']"
462,"['ارث', ' رفتار خانوار', ' پانل داده', ' سیستان و بلوچستان']"
463,"['توزیع درآمد', ' جرم', ' سرقت', ' بیکاری', ' طلاق', ' نسبت شهرنشینی']"
464,"['پدیده بلای منابع', ' کیفیت نهادها', ' سرمایه انسانی']"
465,"['مدل¬های پویای نسل سوم', ' تقاضای نهاده', ' صنایع کارخانه¬ای ایران', ' انرژی']"
466,"['سازمان تجارت جهانی', ' کشش¬هایآرمینگتون', ' کششهایجانشینی', ' رقابتپذیری کالاها']"
467,"['سرمایه¬گذاری مسکن', ' الگوی خود توضیح با وقفه های توزیعی (ARDL) ', ' سبد دارایی']"
468,"['ریسک', ' سبد دارایی', ' بازدهی انتظاری', ' مرز کارایی', ' مدل میانگین- واریانس', ' نرم افزار MATLAB']"
469,"['شکاف دستمزد', ' تجارت بین الملل', ' تئوری هاسکل', ' نسبت قیمت']"
470,"['اقتصاد ایران', ' صادرات غیرنفتی', ' مدل انتقال اثر نرخ ارز', ' شاخص قیمت صادرات']"
471,"['همگرایی', ' شکست ساختاری', ' سری زمانی', ' آزمون ریشه واحد دادههای تابلویی', ' منطقه منا']"
472,"['ایران', ' کسری بودجه', ' تابع مصرف', ' بارو – ریکاردو']"
473,"['جدول داده- ستانده', ' اقتصاد ایران', ': صنایع استراتژیک', ' تحلیل عاملی', ' تاکسونومی عددی']"
474,"['نرخ بیکاری', ' اندازه دولت', ' مدل خودرگرسیون برداری و مخارج دولت']"
475,"['نرخ ارز', ' صادرات غیر نفتی', ' سیاست های ارزی', ' سیاست پیمان ارزی', ' سیاست تک نرخی ارز']"
476,"['چگالی جمعیت', ' فاصله اقتصادی', ' ناهمگونی مذهبی', ' پراکندگی قومیتی']"
477,"['ایران', ' سازمان تجارت جهانی', ' عرضه و تقاضای کتاب', ' کپی رایت', ' سازمان مالکیت فکری']"
478,"['بورس اوراق بهادار تهران', ' دستکاری قیمت', ' نقدشوندگی سهام', ' شفافیت اطلاعات', ' حد نوسان قیمت', ' سهام شناور آزاد', ' رگرسیون لاجیت']"
479,"['رشد اقتصادی', ' کسری بودجه', ' حق¬الضرب', ' حد آستانه¬ای']"
480,"['تولید ناخالص داخلی', ' نرخ ارز', ' پانل دیتا', ' صادرات غیرنفتی', ' نسبت قیمتها']"
481,"['مسکن', ' علیت گرنجر', ' هیسائو', ' سیمز']"
482,"['رشد اقتصادی', ' ارجحیت زمانی', ' تنزیل', ' عدالت بین زمانی', ' بهینه یابی پویا']"
483,"['نرخ قصور', ' شاخص های اقتصاد کلان', ' استرس تست']"
484,"['رشد اقتصادی', ' تورم', ' نااطمینانی تورم', ' شکست ساختاری', ' مدل واریانس ناهمسانی شرطی خود رگرسیو تعمیم یافته (GARCH)']"
485,"['ایران', ' توان تجاری', ' تجارت دو جانبه', ' روش برآورد ساده', ' گروه هشت کشور اسلامی در حال توسعه']"
486,"['مدل تصحیح خطا', ' سیاست های اقتصادی', ' صادرات کشاورزی و صنعت']"
487,"['تمایل به پرداخت', ' تهران', ' کیفیت هوا', ' هکمن دو مرحله¬ای']"
488,"['تقاضای پول', ' حق¬الضرب', ' پایه پولی', ' منحنی لافر']"
489,"['قیمت سایه ای', ' آلودگی', ' نیروگاه ها', ' تابع مسافت نهاده']"
490,"['مکتب نیو¬کینزی', ' مدل تعادل عمومی پویای تصادفی', ' اقتصاد صادر¬کننده نفت']"
491,"['ارزش در معرض ریسک', ' مدل GARCH', ' شبیه سازی مونت کارلو', ' سبد ارز']"
492,"['توزیع درآمد', ' منطق فازی', ' تابع رفاه', ' درآمد سرانه', ' شاخص رفاه']"
493,"[': تعاونی های تولید', ' مهاجرت', ' رضایت شغلی', ' مشارکت در تولید']"
494,"['اقتصاد ایران', ' اقتصاد نهادگرای جدید', ' اولیور ای ویلیامسون', ' اقتصادتوسعه', ' اقتصادهزینه مبادله', ' روش شناسی']"
495,"['پانل دیتا', ' متنوع سازی صادرات', ' زیربخش های صنعتی']"
496,"['آلودگی هوا', ' صنایع تولیدی ایران', ' داده های تابلویی', ' مصرف انرژی']"
497,"['تولید ناخالص داخلی', ' پس¬انداز خانوار', ' درآمد خانوار', ' مدل تعادل عمومی محاسبه¬پذیر']"
498,"['اقتصاد ایران', ' هزینه مبادله', ' شکست بازار', ' روش منطق فازی']"
499,"[': تسهیلات بانکی', ' اعتبارات کشاورزی', ' متغیرهای اقتصادی و اجتماعی']"
500,"['بهره وری', ' اقتصاد ایران', ' کارآفرینی', ' مرحوم عالی نسب']"
501,"['پس انداز', ' بحران طبیعی', ' خسارت', ' روش ARDL']"
502,"['مدل تصحیح خطا', ': تقاضای ذخایر ارزی', ' پانل دیتا', ' سیستم ارزی', ' مدلهای قیمت گذاری دارایی سرمایه ای', ' ترکیب ذخایر ارزی', ' کشورهای در حال توسعه']"
503,"['پیش بینی ورشکستگی', ' شبکه عصبی مصنوعی', ' رگرسیون لجستیک', ' تحلیل ممیزی']"
504,"['رشد اقتصادی', ' ایران', ' توزیع درآمد', ' درآمد نفت']"
505,"['خط بازار سرمایه', ' مرز کارای میانگین واریانس جدید', ' مرز کارای میانگین واریانس', ' مدل قیمت گذاری دارایی های سرمایه ای', ' ریسک سیستماتیک', ' ریسک غیر سیستماتیک']"
506,"['مزیت رقابتی', ': استراتژی', ' برنامه ریزی استراتژیک', ' گمرک جمهوری اسلامی ایران']"
507,"[': موجودی سرمایه', ' ماشین آلات', ' ساختمان های کشاورزی', ' روش موجودی پیوسته', ' جدول داده-ستانده\n\nطبقه بندی JEL: B ۴۱ C ۶۳']"
508,"['E ۳۱، سلامت', ' مراقبت های سلامتی', ' تورم\n\nطبقه بندی JEL: I ۱']"
509,"[': انحراف قیمت', ' عدم کارآیی تخصیصی', ' تابع هزینه سایه ای', ' بازار نهاده', ' بخش صنعت', ' کشش. \nطبقه بندی JEL: C ۳۰']"
510,"['پسماندهای جامد شهری', ' تخریب زیست محیطی', ' مدیریت پسماندهای جامد شهری', ' طرح تفکیک از مبدأ پسماندهای خشک\nطبقه بندی JEL: ', ' منحنی زیست محیطی کوزنتس']"
511,"['بازارهای منطقه ای مسکن', ' اثر موجی', ' مدل خود رگرسیون فضایی تابلویی', ' مدل تصحیح خطای برداری\nطبقه بندیJEL: R ۳۱، R ۱۲']"
512,"['رقابت پذیری', ' عملکرد', ' عملکرد بانک', ' عملکرد مالی', ' عملکرد غیرمالی\n\nطبقه بندی JEL: M ۲۱ و M ۳۱']"
513,"['کسری بودجه', ' C ۲۲، تورم', ' خودرگرسیون برداری (VAR) \nطبقه بندی JEL: E ۳۱']"
514,"[': نهاد', ' نهادگرایی', ' نظریه سرل', ' زبان', ' گفتمان', ' شناخت\n\nطبقه بندی JEL: B ۵۲']"
515,"[': بهره وری', ' تغییر تکنولوژی', ' تابع ترانسلوگ', ' صنعت', ' سیمان. \nطبقه بندی JEL: O ۳۳']"
516,"['زیرساخت های روستایی', ' فقر روستایی', ' اشتغال غیرکشاورزی. \nطبقه بندی JEL: O ۱۸ ', ' هزینه های دولت']"
517,"[': ارزش گذاری مشروط', ' تمایل به پرداخت', ' کالای تاریخی', ' مجموعه تاریخی پاسارگاد. \nطبقه بندیQ ۵۷: JEL']"
518,"[': هزینه های آموزشی', ' هزینه های بهداشتی', ' کارآیی', ' تحلیل پوششی داده ها. \nطبقه بندی JEL: I ۱۸']"
519,"['رشد اقتصادی', ' سرمایۀ انسانی', ' آموزش عالی', ' همگرایی', ' تصحیح خطای برداری. \nطبقه بندی JEL: O ۵۳']"
520,"['رشد اقتصادی', ' توسعه مالی', ': آزادسازی تجاری', ' خود رگرسیونی با وقفه های توزیعی', ' علیت گرنجر. \nطبقه بندی JEL:. G ۱۱، C ۳۲، E ۴۴، F ۴۳']"
521,"['مخارج دولت', ' رشد اقتصادی', ' خود رگرسیون برداری.']"
522,"['توسعه مالی', ' فقر و نابرابری', ' مدل های پویا و استاتیک پانل', ' گشتاورهای تعمیم یافته (GMM)']"
523,"['رشد اقتصادی', ' آزمون ریشه واحد زیوت– اندریوز', ' آزمون همجمعی گریگوری – هانسن', ' شکست ساختاری و مصرف انرژی.']"
524,"['پساصنعتی شدن', ' جدول داده – ستانده', ' بخش چهارم', ' بخشهای اطلاعات اولیه', ' الگوی داده – ستانده متعارف', ' الگوی شبه ماتریس', ' حسابداری اجتماعی', ' ضرایب فزاینده تولید', ' ضرایب فزاینده درآمد و ضرایب فزاینده اشتغال.']"
525,"['آزادسازی', ' تعرفه', ' مدل تعادل عمومی قابل محاسبه.']"
526,"['مالیات مستقیم', ' صادرات', ' اشتغال', ' مدل خودتوضیح برداری با وقفه های گسترده']"
527,"['اقتصاد نفت و گاز', ' ذخایر گازی', ' سیاست انرژی', ' تزریق گاز', ' صادرات گاز.']"
528,"['اقتصاد ورزش', ' تقاضای فوتبال', ' لیگ برتر', ' تقاضا']"
529,"[': همجمعیARDL', ' مدل تصحیح خطا', ' سرمایه گذاری مستقیم خارجی', ' تجارت.']"
530,"['رفع فقر', ' نابرابری اتکینسون', ' کشش رفاه', ' شاخص اصلاح رفاه', ' سیاست مالیاتی به نفع فقیر']"
531,"['شاخص مزیت نسبی صادرات (RXA) ', ' شاخص مزیت نسبی تجارت (RTA) ', ' شاخص پلان تجاری (TM) ', ': مزیت رقابتی', ' شاخص سهم پایدار بازار (CMS) ', ' صنایع فلزات اساسی', ' ایران.']"
532,"['کسری بخش تجارت خارجی', ' رابطه مبادله', ' نرخ ارز واقعی', ' الگوی تصحیح خطای برداری ساختاری']"
533,"['تحلیل پوششی داده ها', ' بهره وری عوامل تولید', ' بورس اوراق بهادار و شاخص تورنکوئیست']"
534,"[': فراریت', ' تقاضای پول', ' بازارسهام', ' بازار پول']"
535,"[': کارایی فنی', ' تابع مرزی تصادفی', ' تحلیل پوششی داده ها', ' کارایی مقیاس', ' گندم', ' ایران']"
536,"['اقتصاد سیاسی', ' نهادگرایی جدید', ' حکومت گرایی', ' انتخاب عمومی و انتخاب جمعی', ' چندگانه گرایی', ' رسته گرایی', ' برنامه پژوهشی', ' کمربندی محافظ', ' هسته سخت.']"
537,"['رشد اقتصادی', ' تجارت', ' توسعه بازار', ' آزادی تجاری']"
538,"['مدل تصحیح خطا', ' بازار سرمایه', ' متغیرهای کلان اقتصادی', ' مدل خود همبسته با وقفه توزیع شده', ' شاخص قیمت سهام بورس اوراق بهادار', ' تئوری قیمت گذاری آربیتراژ']"
539,"['مدل تصحیح خطا', ' رقابت پذیری', ' رقابت پذیری دانش محور', ' اقتصاد دانش محور', ' بهرهوری نیروی کار', ' - آزمون هم گرایی']"
540,"['شوکهای نفتی', ' مسکن', ' بیماری هلندی', ' عدم تقارن']"
541,"['سرمایه گذاری خصوصی', ' تولید ناخالص داخلی', ' تجزیه واریانس', ' حقوق مالکیت', ' قوانین و مقررات و امنیت اجتماعی']"
542,"['خالص رفاه مصرف کننده', ' تغییر جبرانی', ' گروه های مختلف درآمدی', ' تغییر قیمت برق', ' یارانه']"
543,"['الگوی زیست محیطی', ' آب', ' کودشیمیایی', ' سموم', ' ریسک', ' درآمد', ' استان فارس']"
544,"['شاخص قیمت سهام', ' شوک های ارزی و قیمتی', ' خودرگرسیون برداری']"
545,"['مالیه رفتاری', ' قصد سرمایه گذاری', ' نظریه انگیزش', ' نظریه مطلوبیت\nJEL: G ۱۱']"
546,"[': اثرات تقویمی', ' بازار کارآ', ' نوسان پذیری', ' همبستگی سریالی', ' مدل های GARCH']"
547,"['بخش های اطلاعات', ' بخش های اطلاعات اولیه', ' بخش های اطلاعات ثانویه', ' جدول داده- ستانده', ' ضرایب شدت اطلاعات اولیه']"
548,"[': سرمایه گذاری مستقیم خارجی', ' داده های تابلویی']"
549,"[': سیاستهای پولی', ' فقر', ' توزیع درآمد', ' تورم']"
550,"['تقاضای آب – تابع مطلوبیت استون – گری', ' آب مصرفی']"
551,"['آزادسازی تجاری', ' نابرابری دستمزدها', ' تعادل عمومی محاسبه پذیر']"
552,"['انحصار', ' اضافه بها', ' بهره وری', ' تمرکز سرمایه و آزاد سازی']"
553,"['قواعد مبادلاتی تکنیکال', ' بورس اوراق بهادار تهران']"
554,"['کسری بودجه', ' مصرف بخش خصوصی', ' سرمایه گذاری بخش خصوصی', ' اثر اولیه و اثر ثانویه']"
555,"['تورم', ' منحنی فیلیپس', ' رشد نقدینگی', ' پول پایه', ' تورم انتظاری', ' اقتصاد ایران']"
556,"['صادرات', ' ایران', ' نوسان پذیری نرخ ارز']"
557,"['توزیع درآمد', ' اقتصاد ایران', ' نرخ مالیات بهینه', ' مالیات بر حقوق', ' مدل های EGR']"
558,"['تعطیلی بنگاه', ' گروه صنعت', ' اندازه بنگاه', ' سن بنگاه', ' سرمایه اولیه']"
559,"['موافقت نامه تجاری سازمان همکاری اقتصادی', ' ایجاد تجارت', ' انحراف تجارت', ' توسعه تجارت ایران']"
560,"['دامداری', ' کارایی', ' تحلیل پوششی داده های بازه ای', ' واحد تصمیم گیرنده']"
561,"['تحلیل پوششی داده ها', ' کارآیی فنی', ' کارآیی مقیاس', ' هتل']"
562,"['رشد اقتصادی', ' صادرات', ' نئوکلاسیک', ' مخارج دفاعی', ' سرمایه گذاری', ' نیروی کار', ' دولت', ' مصرف', ' اثرات غیر مستقیم']"
563,"['متغیرهای کلان اقتصادی', ' نرخ ارز', ' الگوی خود رگرسیونی ساختاری']"
564,"['رشد اقتصادی', ' فناوری اطلاعات و ارتباطات (ICT) ', ' کشورهای عضواوپک']"
565,"['مدلهای خودرگرسیون میانگین متحرک انباشته (ARIMA) ', ' شبکه های عصبی مصنوعی (ANNs) ', ' مدل های ترکیبی', ' بازارهای مالی', ' پیش بینی نرخ ارز']"
566,['آموزشهای فنی و حرفه ای / تحلیل هزینه و فایده / نرخ بازده داخلی / نرخ بازده آموزش']
567,"['اصل تعمیم یافته ترجیحات آشکار شده', ' تابع مطلوبیت نئوکلاسیک', ' تئوری افریت', ' شاخص تعمیم یافته افریت']"
568,"['چانه زنی', ' قیمت گذاری', ' رقابت', ' هم انباشتگی']"
569,['سرمایه گذاری بخش خصوصی / هزینه های مصرفی بخش دولتی / هزینه های سرمایه ای بخش دولتی / هم انباشتگی']
570,"[': خوداشتغالی', ' نرخ بیکاری', ' بازار کار']"
571,"['پس انداز ملی', ' ساختار سنی جمعیت', ' فرضیه دوران زندگی', ' همجمعی']"
572,"['خنثایی پول', ' رابرت لوکاس', ' منحنی فیلیپس', ' انتظارات']"
573,"['مالیات', ' سیاست مالیاتی', ' منطق فازی', ' متغیر زبانی', ' روش دلفی فازی']"
574,"['منابع مالی نظام سلامت', ' کل مخارج سلامت', ' مخارج عمومی دولت', ' بخش خصوصی']"
575,"['زمان بندی معاملات سهام', ' شبکه های عصبی مصنوعی', ' تحلیل تکنیکی', ' شاخصهای تکنیکی', ' روش خرید و نگهداری']"
576,"['ایران', ' تجارت بین المللی', ' اکو', ' مدل جاذبه']"
577,['نفت خام. نفت خام صادراتی. قیمت گذاری. سیاستهای بازاریابی نفت خام']
578,"['سیاستهای پولی و مالی', ' ارزش افزوده', ' مدل VAR', ' متغیرهای عمده', ' بخش کشاورزی']"
579,"['مدل میانگین واریانس مارکوویتز', ' مرز کارا', ' برنامه ریزی کوآدراتیک', ' محدودیت های عدد صحیح', ' الگوریتم ژنتیک']"
580,"[': امتیازدهی اعتباری', ' ریسک اعتباری', ' مدیریت ریسک', ' مهندسی مالی و نمونه گیری بازگردان']"
581,"['تقاضا', ' مطلوبیت', ' شناخت', ' منفعت فردی', ' مصرف اجتماعی']"
582,"['توسعه مالی', ' اقتصاد ایران', ' نرخ بهره', ' آزادسازی مالی']"
583,"['رشد اقتصادی', ' محیط زیست', ' آلودگی هوا', ' منحنی زیست محیطی کوزنتس']"
584,"['رشد اقتصادی', ' بازار پول', ' بازار سرمایه', ' بازار مالی', ' داده های تلفیقیPanel Data']"
585,"['اقتصاد سایه ای', ' رویکرد پویا', ' معادله ساختاری', ' شاخصهای چندگانه']"
586,"['رقابت پذیری', ' رقابت پذیری بنگاه', ' رویکرد سازه ای', ' رویکرد رفتاری', ' مولفه های تشکیل دهنده و تاثیرگذار', ' مولفه های راهبردی وعملیاتی']"
587,"['صنایع تبدیلی کشاورزی', ' توسعه روستایی']"
588,"['بهره وری کل عوامل', ' تحلیل پوششی داده های معکوس', ' تغییرات کارایی', ' تغییرات تکنولوژی']"
589,"['بهره وری', ' حمل و نقل زمینی', ' سوخت', ' الگوی خود رگرسیونی برداری']"
590,"['پزشک عمومی', ' کشش', ' تابع تقاضا', ' پیش بینی', ' برنامه ریزی نیروی انسانی']"
