,abstract
525,"['مدل', 'تعادل', 'عمومی', 'قابل', 'محاسبه', 'عنوان', 'ابزاری', 'قوی', 'شناخته', 'شده', 'گسترده', 'منظور', 'ارزیابی', 'آزادسازی', 'تجاری', 'مورد', 'استفاده', 'قرار', 'گرفته_اند', 'مطالعه', 'استفاده', 'یک', 'الگوی', 'تعادل', 'عمومی', 'قابل', 'محاسبه', 'کاهش', 'تعرفه', 'وارداتی', 'عنوان', 'نمادی', 'آزادسازی', 'تجاری', 'متغیرهای', 'کلیدی', 'کشور', 'مورد', 'قرار', 'گرفت', 'داده', 'مورد', 'نیاز', 'مدل', 'اساس', 'ماتریس', 'حسابداری', 'اجتماعی', 'سال', 'پایه', 'دست', 'آمده', 'پارامترهای', 'مدل', 'اساس', 'کالیبره', 'گردید', 'نتایج', 'مربوط', 'شبیه', 'سازی', 'نشان', 'داد', 'کاهش', 'تعرفه', 'کل', 'بخشها', 'میزان', 'درصد', 'منجر', 'کاهش', 'کل', 'عرضه', 'محصول', 'سرمایه', 'گذاری', 'افزایش', 'کل', 'صادرات', 'واردات', 'درآمد', 'مصرف', 'خانوارها', 'خواهد_شد']"
526,"['بخش', 'کشاورزی', 'یکی', 'بخشهای', 'مهم', 'کشوراست', 'تأمین', 'کننده', 'سهم', 'مهمی', 'ازتولیدناخالص', 'داخلی', 'اشتغال', 'نیازهای', 'غذایی', 'صادرات', 'غیرنفتی', 'نیازصنایع', 'محصولات', 'کشاورزی', 'است', 'اشتغال', 'میزان', 'مانند', 'متغیراقتصادی', 'واجتماعی', 'تحت', 'تأثیر', 'عوامل', 'مختلفی', 'قرار', 'می', 'گیرد', 'جمله', 'می', 'توان', 'میزان', 'تولید', 'سرمایه', 'گذاری', 'سطح', 'دستمزدها', 'صادرات', 'ومالیات', 'اشاره', 'کرد', 'تغییر', 'متغیر', 'میزان', 'اشتغال', 'مستقیم', 'یاغیرمستقیم', 'تحت', 'تأثیر', 'قرار', 'می', 'گیرد', 'وسطح', 'اشتغال', 'وبیکاری', 'تعیین', 'می', 'شود', 'مطالعه', 'تأثیر', 'متغیرهای', 'کلان', 'مالیات', 'وصادرات', 'اشتغال', 'بخش', 'کشاورزی', 'سالهای', 'استفاده', 'مدل', 'خودتوضیح', 'برداری', 'وقفه', 'گسترده', 'مورد', 'تجزیه', 'وتحلیل', 'قرار', 'داده_است', 'نتایج', 'نشان', 'می', 'دهدکه', 'مالیات', 'مستقیم', 'تأثیر', 'معنی', 'دار', 'ومعکوس', 'صادرات', 'اثرمستقیم', 'براشتغال', 'دارد']"
527,"['مقاله', 'موضوع', 'استفاده', 'بهینه', 'دارایی', 'منابع', 'گاز', 'مقاطع', 'بین', 'زمانی', 'بین', 'کاربرد', 'مختلف', 'ارزش', 'سایه', 'ای', 'تخصیص', 'انتخاب', 'مختلف', 'توسعه', 'منابع', 'گاز', 'یک', 'دوره', 'بلند', 'مدت', 'مورد', 'قرار', 'گرفته_است', 'تعریف', 'یک', 'تابع', 'رفاه', 'اجتماعی', 'تخصیص', 'گاز', 'مصارف', 'داخل', 'تزریق', 'صادرات', 'ذخیره', 'انتقال', 'بین', 'زمانی', 'دوره', 'بهره', 'برداری', 'منابع', 'گاز', 'قالب', 'یک', 'مدل', 'برنامه', 'ریزی', 'پویای', 'غیر', 'خطی', 'مدل', 'سازی', 'شده', 'اولویت', 'تخصیص', 'گاز', 'مقدار', 'مصارف', 'گاز', 'بخشهای', 'مختلف', 'دوره', 'مورد', 'قرار', 'گرفته_است', 'نتایج', 'نشان', 'می', 'دهد', 'اولویت', 'مقدار', 'بهینه', 'تخصیص', 'گاز', 'مصارف', 'مختلف', 'سالهای', 'آینده', 'تابعی', 'محدودیت', 'تولید', 'گاز', 'سیاست', 'انرژی', 'نرخ', 'تنزیل', 'هدف', 'گذاری', 'تزریق', 'حفظ', 'فشار', 'مخازن', 'فشار', 'افزایی', 'متوسط', 'بالای', 'مخازن', 'نفت', 'واردات', 'گاز', 'است', 'نرخ', 'تنزیل', 'پایین', 'تزریق', 'گاز', 'صادرات', 'گاز', 'اولویت', 'مطلق', 'دارد', 'حالت', 'تخصیص', 'گاز', 'تزریق', 'اولویت', 'پیدا', 'می', 'کند', 'مازاد', 'گاز', 'صادرات', 'تخصیص', 'می', 'یابد', 'نرخ', 'تنزیل', 'بالاتر', 'تزریق', 'گاز', 'اولویت', 'مطلق', 'صادرات', 'گاز', 'ندارد', 'مقدار', 'بهینه', 'دو', 'متغیر', 'همزمان', 'تعیین', 'می', 'شود', 'رشد', 'مصارف', 'نهایی', 'داخلی', 'گاز', 'صورت', 'تداوم', 'رشد', 'مصرف', 'موجود', 'متوسط', 'مصرف', 'سال', 'گذشته', 'تداوم', 'یابد', 'نتایج', 'نشان', 'می', 'دهد', 'سالهای', 'مورد', 'امکان', 'تخصیص', 'گاز', 'تزریق', 'متناسب', 'سناریوی', 'حفظ', 'فشار', 'موجود', 'مخازن', 'صادرات', 'گاز', 'وجود', 'نخواهد_داشت', 'کشور', 'تراز', 'منفی', 'گاز', 'مواجه', 'خواهد_بود', 'نتایج', 'سناریوهای', 'مختلف', 'مطالعه', 'نشان', 'می', 'دهد', 'تبدیل', 'شدن', 'صادرکننده', 'بزرگ', 'گاز', 'دو', 'دهه', 'آینده', 'سازگار', 'حداکثر', 'سازی', 'منافع', 'بهره', 'برداری', 'تخصیص', 'ذخایر', 'گاز', 'کشور', 'نیست']"
528,"['مبحث', 'تقاضا', 'مسابقات', 'ورزشی', 'توجهات', 'زیادی', 'رشته', 'ورزش', 'خود', 'جلب', 'کرده_است', 'مسابقات', 'ورزشی', 'یکی', 'مهمترین', 'محصولات', 'تولیدی', 'صنعت', 'ورزش', 'می', 'باشد', 'شناخت', 'عوامل', 'موثر', 'تقاضای', 'مسابقات', 'ورزشی', 'می', 'توانند', 'مدیران', 'تیمها', 'کسب', 'درآمد', 'بیشتر', 'کمک', 'کند', 'هدف', 'اصلی', 'مقاله', 'عوامل', 'موثر', 'تقاضای', 'لیگ', 'برتر', 'فوتبال', 'می', 'باشد', 'رو', 'تابع', 'تقاضای', 'لیگ', 'برتر', 'فوتبال', 'فصل', 'تبیین', 'شده', 'سپس', 'بوسیله', 'مناسبترین', 'روشهای', 'اقتصادسنجی', 'تخمین', 'زده_شده_است', 'نتایج', 'نشان', 'می', 'دهد', 'مجموعه', 'ای', 'متغیرهای', 'فوتبالی', 'تعیین', 'تقاضای', 'مسابقات', 'موثرند', 'فوتبال', 'کالایی', 'پست', 'است', 'تقاضا', 'شهرهای', 'کم', 'جمعیت', 'بیشتر', 'می', 'باشد', 'تعداد', 'تماشاگران', 'اواخر', 'فصل', 'کاهش', 'می', 'یابد', 'زیرا', 'عدم', 'اطمینان', 'نتیجه', 'تعیین', 'تقاضا', 'موثر', 'نیست']"
529,"['رابطه', 'بین', 'تجارت', 'سرمایه', 'گذاری', 'مستقیم', 'خارجی', 'رشد', 'کشورهای', 'حال', 'توسعه', 'توسعه', 'یافته', 'نقطه', 'نظر', 'تئوریک', 'تجربی', 'همیشه', 'مورد', 'توجه', 'بوده_است', 'هدف', 'مقاله', 'حاضر', 'تأثیر', 'سرمایه', 'گذاری', 'مستقیم', 'خارجی', 'تجارت', 'رشد', 'کشور', 'می', 'باشد', 'مقاله', 'یک', 'تابع', 'تولید', 'کل', 'تعمیم', 'یافته', 'APF', 'مدل', 'رشد', 'استفاده', 'می', 'کند', 'APF', 'گونه', 'فرض', 'می', 'کند', 'علاوه', 'نهاده', 'مرسوم', 'نیروی', 'کار', 'سرمایه', 'تابع', 'تولید', 'نئوکلاسیکی', 'استفاده', 'می', 'شوند', 'نهاده', 'غیر', 'مرسومی', 'همچون', 'سرمایه', 'گذاری', 'مستقیم', 'خارجی', 'تجارت', 'می', 'توانند', 'مدل', 'قرار', 'بگیرند', 'روش', 'همجمعی', 'رویکرد', 'ARDL', 'وجود', 'رابطه', 'بلند', 'مدت', 'بین', 'متغیرها', 'کار', 'گرفته_شده_است', 'ضرایب', 'مربوط', 'مدل', 'بلند', 'مدت', 'تصحیح', 'خطا', 'رابطه', 'رشد', 'دوره', 'برآورد', 'گردیده', 'اند', 'نتایج', 'نشان', 'دهنده', 'بوده_است', 'متغیر', 'سرمایه', 'گذاری', 'مستقیم', 'خارجی', 'تنها', 'کوتاه', 'مدت', 'روی', 'رشد', 'گذار', 'است', 'منفی', 'می', 'باشد', 'همچنین', 'متغیر', 'تجارت', 'کوتاه', 'مدت', 'بلند', 'مدت', 'معنادار', 'مثبتی', 'روی', 'رشد', 'داشته_است', 'متغیرهای', 'سرمایه', 'نیروی', 'کار', 'عواملی', 'بسیار', 'مهم', 'رشد', 'کوتاه', 'مدت', 'بلند', 'مدت', 'شمار', 'می', 'آیند']"
530,"['رفع', 'فقر', 'کاهش', 'نابرابری', 'وظایف', 'اصلی', 'دولت', 'بشمار', 'می', 'آید', 'دولت', 'می', 'تواند', 'بکار', 'گرفتن', 'درآمدهای', 'مالیاتی', 'وضع', 'افراد', 'تغییر', 'داده', 'نقش', 'مهمی', 'کاهش', 'فقر', 'نابرابری', 'ایفا', 'نماید', 'هدف', 'عمده', 'مقاله', 'ارزیابی', 'سیاست', 'مالیاتی', 'جنبه', 'فقر', 'نابرابری', 'می', 'باشد', 'بدین', 'منظور', 'ضریب', 'نابرابری', 'اتکینسون', 'کشش', 'رفاه', 'شاخص', 'اصلاح', 'رفاه', 'استفاده', 'شده_است', 'روش', 'بکارگرفته', 'شده', 'دولت', 'کمک', 'می', 'کند', 'تشخیص', 'دهد', 'آیا', 'سیاست', 'مالیاتی', 'نفع', 'فقیر', 'بوده_است', 'نتایج', 'عمده', 'مقاله', 'نشان', 'می', 'دهد', 'نابرابری', 'اجزاء', 'مختلف', 'درآمدی', 'طی', 'سالهای', 'مناطق', 'شهری', 'روستایی', 'افزایش', 'یافته', 'سیاست', 'مالیاتی', 'دولت', 'جهت', 'افزایش', 'فقر', 'نابرابری', 'اعمال', 'شده_است']"
531,"['توجه', 'اینکه', 'صنعت', 'فلزات', 'اساسی', 'پتروشیمی', 'مهمترین', 'صنعت', 'صادراتی', 'کشور', 'می', 'باشد', 'مقاله', 'حاضر', 'رقابت', 'پذیری', 'گروه', 'کالاهای', 'صنایع', 'فلزات', 'اساسی', 'طی', 'دوره', 'زمانی', 'اندازه', 'گیری', 'می', 'کند', 'منظور', 'شاخص', 'مزیت', 'نسبی', 'صادرات', 'مزیت', 'نسبی', 'تجارت', 'سهم', 'پایدار', 'بازار', 'پلان', 'تجاری', 'استفاده', 'شده_است', 'نتایج', 'تحقیق', 'حاکی', 'است', 'علیرغم', 'وجود', 'مزیت', 'نسبی', 'عمده', 'گروه', 'کالاهای', 'صادراتی', 'صنایع', 'فلزات', 'اساسی', 'طی', 'دوره', 'زمانی', 'مورد', 'مزیت', 'رقابتی', 'گروه', 'محصولات', 'دارای', 'روند', 'مشخص', 'پایداری', 'نمی', 'باشد', 'همچنین', 'اساس', 'نتایج', 'بدست', 'آمده', 'نرخ', 'رشد', 'شاخص', 'مزیت', 'نسبی', 'صادرات', 'اکثر', 'گروه', 'کالاهای', 'صنعت', 'فلزات', 'اساسی', 'طی', 'دوره', 'زمانی', 'مورد', 'دارای', 'نوسان', 'می', 'باشد', 'اساس', 'شاخص', 'پلان', 'تجاری', 'نتایج', 'مشابهی', 'بدست', 'آمده_است', 'بطوریکه', 'گروه', 'کالایی', 'قادر', 'کسب', 'حفظ', 'موقعیت', 'رقابتی', 'کل', 'دوره', 'زمانی', 'مورد', 'شده_باشد', 'مشاهده', 'نشده_است', 'سرانجام', 'اساس', 'شاخص', 'سهم', 'پایدار', 'بازار', 'عملکرد', 'رقابتی', 'گروه', 'کالاهای', 'عمده', 'صادراتی', 'بازارهای', 'هدف', 'کالا', 'نشان', 'می', 'دهد', 'رقابتی', 'بازارهای', 'هدف', 'عموما', 'پایدار', 'نبوده', 'اکثر', 'موارد', 'تغییرات', 'متناوب', 'میزان', 'مشاهده', 'شده_است', 'نتایج', 'احتمالا', 'ناشی', 'عدم', 'توجه', 'کافی', 'عوامل', 'موجد', 'مزیت', 'رقابتی', 'نظیر', 'کیفیت', 'کارایی', 'نوآوری', 'مصرف', 'زیاد', 'داخلی', 'افزایش', 'قیمت', 'عوامل', 'تولید', 'بهای', 'تمام', 'شده', 'محصول', 'می', 'باشد', 'توجه', 'نتایج', 'بدست', 'آمده', 'ارتقاء', 'حفظ', 'سهم', 'صادراتی', 'گروه', 'محصولات', 'فلزات', 'اساسی', 'تکیه', 'صرف', 'مزیت', 'نسبی', 'کافی', 'نمی', 'باشد', 'رابطه', 'باید', 'مزیت', 'رقابتی', 'مورد', 'توجه', 'قرار', 'گیرد']"
532,"['اتخاذ', 'سیاستهای', 'مناسب', 'کاهش', 'کسری', 'تجاری', 'ازجمله', 'اهداف', 'برنامه', 'اصلی', 'سیاستگذاران', 'محسوب', 'می', 'گردد', 'حال', 'ارتباط', 'متقابل', 'کسری', 'بخش', 'تجارت', 'خارجی', 'متغیرهای', 'کلان', 'نظیر', 'رابطه', 'مبادله', 'نرخ', 'ارز', 'پیچیدگی', 'مطالعات', 'مربوطه', 'افزوده_است', 'لذا', 'شناسایی', 'ارتباط', 'تاثر', 'میان', 'آنها', 'نحوه', 'اتخاذ', 'تدوین', 'سیاستهای', 'کلان', 'نیل', 'تعادل', 'بخش', 'خارجی', 'شفاف', 'تر', 'می', 'نماید', 'مقاله', 'حاضر', 'هدف', 'شناخت', 'روابط', 'متقابل', 'بین', 'کسری', 'بخش', 'تجارت', 'خارجی', 'رابطه', 'مبادله', 'نرخ', 'ارز', 'واقعی', 'درصدد', 'است', 'مکانیسم', 'اثرگذاری', 'کسری', 'بخش', 'خارجی', 'بلندمدت', 'کوتاه', 'مدت', 'بهره', 'گیری', 'الگوی', 'تصحیح', 'خطای', 'برداری', 'ساختاری', 'طی', 'سالهای', 'مورد', 'قرار', 'دهد', 'نتایج', 'بیانگر', 'وجود', 'رابطه', 'تعادلی', 'بلندمدت', 'بین', 'کسری', 'بخش', 'خارجی', 'رابطه', 'مبادله', 'است', 'بطوریکه', 'رابطه', 'مبادله', 'داشتن', 'ضریب', 'تراز', 'تجاری', 'تحت', 'قرار', 'می', 'دهد', 'همچنین', 'یک', 'ارتباط', 'معنی', 'دار', 'بلندمدت', 'بین', 'نرخ', 'ارز', 'واقعی', 'تراز', 'تجاری', 'طی', 'دوره', 'مورد', 'تایید', 'می', 'گردد', 'بطوریکه', 'کاهش', 'ارزش', 'پول', 'ضریب', 'توانسته', 'تراز', 'تجاری', 'طی', 'دوره', 'مورد', 'بهبود', 'بخشد', 'همچنین', 'دستیابی', 'روابط', 'کوتاه', 'مدت', 'مشخص', 'نمودن', 'ضریب', 'سرعت', 'تعدیل', 'متغیر', 'کسری', 'بخش', 'تجارت', 'خارجی', 'الگوی', 'تصحیح', 'خطای', 'برداری', 'استفاده', 'شد', 'طبق', 'نتایج', 'بدست', 'آمده', 'ضریب', 'بالای', 'سرعت', 'تعدیل', 'متغیر', 'قبال', 'هرگونه', 'عدم', 'تعادل', 'انحراف', 'سطح', 'تعادلی', 'بلندمدت', 'دوره', 'اول', 'بیانگر', 'است', 'هرگونه', 'عدم', 'تعادلی', 'معادله', 'کسری', 'بخش', 'تجارت', 'خارجی', 'سرعت', 'برطرف', 'می', 'گردد']"
533,"['عوامل', 'تولید', 'تامین', 'نمایند', 'اساس', 'سهم', 'رشد', 'بهره', 'وری', 'کل', 'عوامل', 'بخش', 'خدمات', 'نهادهای', 'مالی', 'ذیل', 'می', 'باشند', 'رشد', 'تولید', 'بخشها', 'تولید', 'ناخالص', 'داخلی', 'میزان', 'درصد', 'پیش', 'بینی', 'شده_است', 'میزان', 'روند', 'رشد', 'سالانه', 'بهره', 'وری', 'نیروی', 'کار', 'سرمایه', 'عوامل', 'کل', 'بترتیب', 'درصد', 'نظر', 'گرفته_شده_است', 'مطالعه', 'استفاده', 'روش', 'برنامه', 'ریزی', 'خطی', 'زمره', 'روش', 'ناپارامتری', 'است', 'ابتدا', 'کارایی', 'فنی', 'بورس', 'اوراق', 'بهادار', 'تهران', 'مورد', 'ارزیابی', 'قرار', 'گرفته', 'سپس', 'بهره', 'گیری', 'شاخص', 'تورنکوئیست', 'رشد', 'بهره', 'وری', 'عوامل', 'تولید', 'نهاد', 'مالی', 'طی', 'دوره', 'مورد', 'ارزیابی', 'قرار', 'گرفته_است', 'نتایج', 'حاکی', 'آنست', 'بهره', 'وری', 'عوامل', 'تولید', 'بورس', 'اوراق', 'بهادار', 'تهران', 'بطور', 'متوسط', 'سالانه', 'رشدی', 'معادل', 'درصد', 'روبرو', 'می', 'باشد', 'اهداف', 'مندرج', 'برنامه', 'چهارم', 'درصد', 'فاصله', 'زیادی', 'دارد']"
534,"['دولت', 'اجرای', 'سیاست', 'تعدیل', 'برنامه', 'خصوصی', 'سازی', 'گامی', 'جهت', 'گسترش', 'بورس', 'اوراق', 'بهادار', 'برداشته', 'راه', 'اندازی', 'مجدد', 'بازار', 'سال', 'تلاش', 'گسترش', 'پرداخته_است', 'آنجا', 'بازار', 'بورس', 'اوراق', 'بهادار', 'اصلی', 'ترین', 'نهاد', 'بازار', 'سرمایه', 'حساب', 'می', 'آید', 'گسترش', 'بازار', 'می', 'تواند', 'افزایش', 'کارایی', 'بازارهای', 'مالی', 'جمله', 'بازار', 'پول', 'منجر', 'شود', 'بنابراین', 'جنبه', 'مختلف', 'گسترش', 'ضرورتی', 'اجتناب', 'ناپذیر', 'نظر', 'می', 'رسد', 'بازدهی', 'اوراق', 'سهام', 'می', 'تواند', 'عنوان', 'هزینه', 'فرصت', 'نگه', 'داری', 'پول', 'نظر', 'گرفته_شود', 'طرف', 'دیگر', 'فراریت', 'بازدهی', 'می', 'تواند', 'تصمیم', 'گیری', 'عوامل', 'بازار', 'نقش', 'تعیین', 'کننده', 'داشته_باشد', 'بنابراین', 'یکی', 'عواملی', 'می', 'تواند', 'منجر', 'بی', 'ثباتی', 'تقاضا', 'پول', 'شود', 'وضعیت', 'کنونی', 'بازار', 'سهام', 'است', 'رو', 'اهداف', 'اصلی', 'انجام', 'تحقیق', 'تعیین', 'میزان', 'فراریت', 'بازار', 'سهام', 'تقاضا', 'پول', 'است', 'مبنای', 'آزمون', 'عمل', 'آمده', 'تحقق', 'معادلات', 'تقاضا', 'سرعت', 'گردش', 'پول', 'اساس', 'تعریف', 'محدود', 'پول', 'دارای', 'روابط', 'همجمعی', 'تعادلی', 'بلند', 'مدت', 'می', 'باشند', 'اساس', 'روابط', 'تجربی', 'برآورد', 'شده', 'تقاضای', 'پول', 'تحت', 'درآمد', 'ملی', 'نرخ', 'ارز', 'نرخ', 'تورم', 'شاخص', 'ریسک', 'بازار', 'سهام', 'است', 'توجه', 'ملاحظات', 'مربوط', 'ریسک', 'علیرغم', 'اینکه', 'ضرایب', 'مذکور', 'مبانی', 'نظری', 'همخوانی', 'دارد', 'دارای', 'آماره', 'معنی', 'داری', 'نیستد', 'می', 'تواند', 'نشان', 'عدم', 'توسعه', 'یافتگی', 'بازارهای', 'مالی', 'باشد', 'لذا', 'اقدامات', 'مربوط', 'گسترش', 'نوع', 'نهاد', 'باید', 'تسریع', 'گردد', 'همچنین', 'تنها', 'تعریف', 'محدود', 'پول', 'عنوان', 'هدف', 'میانی', 'سیاستهای', 'قابل', 'کاربرد', 'دارای', 'روابط', 'تعادلی', 'می', 'باشد']"
535,"['هدف', 'مقاله', 'برآورد', 'کارایی', 'فنی', 'تولید', 'گندم', 'استان', 'مختلف', 'است', 'بدین', 'منظور', 'داده', 'تلفیقی', 'مربوط', 'نهاده', 'ستاده', 'مورد', 'استفاده', 'تولید', 'محصول', 'گندم', 'جمع', 'آوری', 'استفاده', 'روش', 'مرز', 'تصادفی', 'پوششی', 'داده', 'اقدام', 'محاسبه', 'کارایی', 'فنی', 'استان', 'مختلف', 'طی', 'سال', 'زراعی', 'شده_است', 'نتایج', 'دست', 'آمده', 'رهیافت', 'پارامتریک', 'نشان', 'می', 'دهد', 'میانگین', 'کارایی', 'تولید', 'گندم', 'دوره', 'مورد', 'بوده_است', 'رهیافت', 'استان', 'گیلان', 'بوشهر', 'میانگین', 'کارایی', 'فنی', 'ترتیب', 'بالاترین', 'پایین', 'ترین', 'میزان', 'کارایی', 'فنی', 'دارا', 'بوده_اند', 'نتایج', 'حاصل', 'مدل', 'ناپارامتریک', 'حاکی', 'است', 'میانگین', 'کارایی', 'فنی', 'دوره', 'میزان', 'بوده_است', 'استان', 'سیستان', 'کهگیلویه', 'بویر', 'احمد', 'گیلان', 'مازندران', 'نمره', 'کارایی', 'صد', 'صد', 'استان', 'یزد', 'کارایی', 'بالاترین', 'پایین', 'ترین', 'میزان', 'کارایی', 'فنی', 'برخوردار', 'بوده_اند', 'نظر', 'می', 'رسد', 'کارگیری', 'رهیافت', 'پارامتریک', 'تحقیقات', 'مربوط', 'بخش', 'کشاورزی', 'واسطه', 'ویژگی', 'آنها', 'مناسب', 'تر', 'است', 'وجود', 'انتخاب', 'دو', 'رهیافت', 'پارامتریک', 'ناپارامتریک', 'مقایسه', 'نتایج', 'آنها', 'می', 'تواند', 'قوت', 'اطمینان', 'بیشتری', 'یافته', 'تحقیق', 'ببخشد']"
536,"['مقاله', 'تلاش', 'می', 'شود', 'موارد', 'استفاده', 'مفهوم', 'سیاسی', 'متون', 'مختلف', 'روشن', 'گردد', 'میان', 'کاربردهای', 'مختلف', 'یکی', 'عنوان', 'مناسب', 'ترین', 'کاربرد', 'معرفی', 'شود', 'آنگاه', 'طبقه', 'بندی', 'رویکردهای', 'مختلف', 'نظری', 'زمینه', 'سیاسی', 'پرداخته', 'رویکرد', 'حداقل', 'کلمات', 'معرفی', 'می', 'نماید', 'پس', 'نگاهی', 'گذرا', 'انتقادی', 'رویکردهای', 'مختلف', 'طرح', 'برخی', 'ملاحظات', 'روش', 'شناختی', 'پیشنهاد', 'می', 'شود', 'جای', 'آنکه', 'سیاسی', 'عنوان', 'یک', 'نظریه', 'مشخص', 'نظر', 'بگیریم', 'عنوان', 'یک', 'برنامه', 'پژوهشی', 'بهره', 'گیریم', 'مقاله', 'دریچه', 'ای', 'است', 'مقاله', 'دیگری', 'معرفی', 'ابعاد', 'گوناگون', 'برنامه', 'پژوهشی', 'می', 'پردازد']"
537,"['رشد', 'توسعه', 'اهداف', 'مهم', 'کلان', 'کشور', 'است', 'رسیدن', 'رشد', 'عوامل', 'زیادی', 'گذار', 'می', 'باشند', 'ازجمله', 'عوامل', 'تجارت', 'توسعه', 'بازار', 'است', 'مقاله', 'تجارت', 'توسعۀ', 'بازار', 'رشد', 'شریک', 'عمده', 'تجاری', 'اش', 'آلمان', 'ایتالیا', 'سنگاپور', 'هلند', 'چین', 'ژاپن', 'امارات', 'متحده', 'عربی', 'هند', 'فرانسه', 'کره', 'کویت', 'ایالات', 'متحده', 'آمریکا', 'اسپانیا', 'سوئد', 'سوئیس', 'ترکیه', 'آذربایجان', 'یونان', 'پاکستان', 'بحرین', 'عربستان', 'صعودی', 'قطر', 'سوریه', 'بحرین', 'تاجیکستان', 'ارمنستان', 'تایلند', 'اندونزی', 'انگلیس', 'برزیل', 'سالهای', 'مورد', 'قرار', 'گرفته_است', 'هدف', 'انجام', 'تحقیق', 'پاسخ', 'سوال', 'است', 'آیا', 'تجارت', 'توسعه', 'بازار', 'رشد', 'شرکای', 'تجاری', 'اش', 'سالهای', 'گذار', 'بوده_است', 'خیر', 'مدلی', 'مطالعه', 'مورد', 'استفاده', 'قرارگرفته', 'یک', 'رگرسیون', 'رشد', 'است', 'اساس', 'رابطه', 'میان', 'رشد', 'کشورهای', 'مورد', 'نظر', 'متغیرهای', 'بیان', 'کنندۀ', 'تجارت', 'توسعۀ', 'بازارتنظیم', 'شده', 'روش', 'حداقل', 'مربعات', 'معمولی', 'OLS', 'تخمین', 'زده', 'می', 'شود', 'سه', 'معیار', 'آزادی', 'اسمی', 'آزادی', 'واقعی', 'آزادی', 'واقعی', 'جغرافیایی', 'عنوان', 'معیارهایی', 'آزادی', 'تجاری', 'استفاده', 'کرده', 'پس', 'برآورد', 'مدل', 'نتیجه', 'گرفته', 'می', 'شودکه', 'وقتی', 'آزادی', 'تجاری', 'ارزش', 'دلاری', 'صادرات', 'واردات', 'نسبت', 'GDP', 'حسب', 'برابری', 'قدرت', 'خرید', 'اساس', 'دلار', 'آزادی', 'واقعی', 'اندازه', 'گیری', 'شود', 'تجارت', 'اندازه', 'بازار', 'داخلی', 'نقش', 'تعیین', 'کننده', 'ای', 'افزایش', 'رشد', 'سالهای', 'دارند', 'زمانی', 'آزادی', 'تجاری', 'ارزش', 'دلاری', 'صادرات', 'واردات', 'نسبت', 'GDP', 'حسب', 'نرخ', 'ارز', 'دلار', 'آزادی', 'اسمی', 'اندازه', 'گیری', 'می', 'شود', 'تجارت', 'اندازه', 'بازار', 'رشد', 'قوی', 'ای', 'ندارند', 'آزادی', 'واقعی', 'معیار', 'مناسب', 'تری', 'تجارت', 'است', 'آزادی', 'واقعی', 'جغرافیایی', 'بیان', 'می', 'کند', 'تجارت', 'کشورهایی', 'بازار', 'داخلی', 'کوچکتری', 'دارند', 'رشد', 'بیشتری', 'دارد']"
538,"['مطالعه', 'حاضر', 'کوششی', 'نشان', 'دادن', 'تأثیر', 'متغیرهای', 'کلان', 'بازار', 'سرمایه', 'می', 'باشد', 'بدین', 'منظور', 'داده', 'فصلی', 'متغیرهای', 'مختلف', 'مثل', 'تولید', 'ناخالص', 'داخلی', 'حجم', 'پول', 'تورم', 'نرخ', 'ارز', 'سال', 'مورد', 'توجه', 'قرار', 'داده', 'اساس', 'تئوری', 'قیمت', 'گذاری', 'آربیتراژ', 'انجام', 'آزمون', 'ریشه', 'واحد', 'تشخیصی', 'تجمعی', 'مدل', 'خود', 'همبسته', 'وقفه', 'توزیع', 'شدهوتصحیح', 'خطا', 'برآورد', 'شده', 'تأثیرات', 'متغیرهای', 'فوق', 'شاخص', 'قیمت', 'سهام', 'بورس', 'اوراق', 'بهادار', 'تهران', 'گردید', 'نتایج', 'حاکی', 'است', 'ارتباط', 'شاخص', 'قیمت', 'سهام', 'تولید', 'ناخالص', 'داخلی', 'سطح', 'عمومی', 'قیمت', 'بصورت', 'مستقیم', 'بوده', 'قیمت', 'سهام', 'ارتباط', 'معکوس', 'حجم', 'پول', 'نرخ', 'ارز', 'دارد', 'ضریب', 'تصحیح', 'خطای', 'الگو', 'نشان', 'می', 'دهد', 'دوره', 'درصد', 'عدم', 'تعادل', 'موجود', 'برطرف', 'شده', 'بیانگر', 'سرعت', 'تعدیل', 'بالا', 'می', 'باشد']"
